# Textes des vingt-quatre termes solaires (二十四节气).
#
# Source : textes rédigés pour l'app (story 4b.9). Aucun texte tiers n'est recopié : les
# faits de nature (hirondelles de 春分, pivoines de 谷雨, lucioles de 大暑, oies de 寒露,
# prunier de 大寒…) relèvent de l'almanach commun des « soixante-douze pentades » 七十二候,
# connu depuis l'Antiquité. Les traductions françaises des noms sont rédigées pour l'app.
#
# Format : TSV, `#` en commentaire, quatre colonnes séparées par une tabulation. Une
# clé par ligne. Pour chaque terme (identifiant : le pinyin sans ton, comme dans
# `termes.tsv`) :
#
# - `nom_zh`, `pinyin`, `fr` : le nom (白露), son pinyin (báilù), sa traduction ;
# - `ambiance` : l'une des huit ambiances de saison, trois termes chacune, qui donnent
#   à l'app une palette légère et un petit décor (`[data-saison]` de `tokens.css`) ;
# - `ligne` : une phrase qui dit ce qui se passe dans la nature ;
# - `tao` : une ou deux phrases de Tao, une ligne par phrase, dans l'ordre où elle les dit ;
# - `c` et `sens` : le caractère à lire, pris dans le nom ou lié au terme, propre à ce
#   terme, dessiné depuis ses traits (`wenlu check` vérifie qu'ils sont exportés) ; son
#   sens en français. Son pinyin vient d'Unihan, par l'export.
#
# Les lignes `commun` portent ce qui vaut pour tous les termes : la rubrique et
# l'explication de l'anecdote du jour où un terme commence.
#
# Jamais de dragon : 惊蛰, c'est le tonnerre et les insectes qui se réveillent.
#
terme	cle	valeur	source
commun	rubrique	Aujourd'hui commence un terme solaire	rédigé pour l'app
commun	explication	L'année chinoise compte vingt-quatre termes solaires, un tous les quinze jours environ ; chacun porte le nom de ce qui se passe alors dans la nature.	rédigé pour l'app
lichun	nom_zh	立春	rédigé pour l'app
lichun	pinyin	lìchūn	rédigé pour l'app
lichun	fr	le début du printemps	rédigé pour l'app
lichun	ambiance	pecher	rédigé pour l'app
lichun	ligne	Le vent d'est dégèle la terre, et les premiers bourgeons pointent.	rédigé pour l'app
lichun	tao	立春 : le printemps commence !	rédigé pour l'app
lichun	tao	Je sens mes bourgeons.	rédigé pour l'app
lichun	c	春	rédigé pour l'app
lichun	sens	le printemps	rédigé pour l'app
yushui	nom_zh	雨水	rédigé pour l'app
yushui	pinyin	yǔshuǐ	rédigé pour l'app
yushui	fr	les eaux de pluie	rédigé pour l'app
yushui	ambiance	pecher	rédigé pour l'app
yushui	ligne	La neige cède la place à la pluie, et l'herbe reverdit.	rédigé pour l'app
yushui	tao	La neige devient pluie : 雨水.	rédigé pour l'app
yushui	tao	J'ai soif : tant mieux.	rédigé pour l'app
yushui	c	水	rédigé pour l'app
yushui	sens	l'eau	rédigé pour l'app
jingzhe	nom_zh	惊蛰	rédigé pour l'app
jingzhe	pinyin	jīngzhé	rédigé pour l'app
jingzhe	fr	le réveil des insectes	rédigé pour l'app
jingzhe	ambiance	pecher	rédigé pour l'app
jingzhe	ligne	Le premier tonnerre roule, et les insectes endormis sous la terre se réveillent.	rédigé pour l'app
jingzhe	tao	Le tonnerre réveille les insectes !	rédigé pour l'app
jingzhe	tao	Mes premières fleurs de pêcher.	rédigé pour l'app
jingzhe	c	雷	rédigé pour l'app
jingzhe	sens	le tonnerre	rédigé pour l'app
chunfen	nom_zh	春分	rédigé pour l'app
chunfen	pinyin	chūnfēn	rédigé pour l'app
chunfen	fr	l'équinoxe de printemps	rédigé pour l'app
chunfen	ambiance	pluie	rédigé pour l'app
chunfen	ligne	Le jour et la nuit sont égaux, et les hirondelles reviennent.	rédigé pour l'app
chunfen	tao	Autant de jour que de nuit.	rédigé pour l'app
chunfen	tao	Les hirondelles sont revenues !	rédigé pour l'app
chunfen	c	分	rédigé pour l'app
chunfen	sens	partager, diviser	rédigé pour l'app
qingming	nom_zh	清明	rédigé pour l'app
qingming	pinyin	qīngmíng	rédigé pour l'app
qingming	fr	pur et lumineux	rédigé pour l'app
qingming	ambiance	pluie	rédigé pour l'app
qingming	ligne	L'air devient clair et doux, et les arbres se couvrent de feuilles neuves.	rédigé pour l'app
qingming	tao	L'air est clair : 清明.	rédigé pour l'app
qingming	tao	Des feuilles neuves partout.	rédigé pour l'app
qingming	c	明	rédigé pour l'app
qingming	sens	clair, lumineux	rédigé pour l'app
guyu	nom_zh	谷雨	rédigé pour l'app
guyu	pinyin	gǔyǔ	rédigé pour l'app
guyu	fr	la pluie des grains	rédigé pour l'app
guyu	ambiance	pluie	rédigé pour l'app
