# Les anecdotes du jour : un fait culturel ou historique, court, accroché à un caractère.
#
# Source : rédigé pour l'app, sans reprise d'un texte tiers (ni Wiktionary, ni
# encyclopédie recopiée). Les douze premières viennent de la maquette validée par le
# propriétaire (`maquettes/zilin-maquette.html`, septembre 2026) ; six y ont été
# corrigées : 四 (l'heure d'ouverture des Jeux de Pékin), 送 (l'anecdote de l'horloge,
# accrochée à 送 : 钟 n'est pas dans les traits exportés), 喜 (囍 est bien dans Unicode
# et les dictionnaires), 姓, 筷 et 春 (précisions). Celle du dragon 龙 n'est pas
# reprise : le dragon n'apparaît qu'au Nouvel An et à 端午 (CLAUDE.md, brief §5).
# Les autres sont écrites sur le même modèle, en session Claude Code, et restent à relire.
# Licence : textes propriétaires de l'app, comme les autres textes rédigés pour elle.
#
# Règles (brief §6, pas 1 « Ouvrir ») : un fait court, culturel ou historique, accroché
# à un seul caractère, de trois à cinq phrases, en français ; pas d'emoji, pas de
# dragon ; on n'y écrit que des faits largement attestés, et une légende se dit comme
# telle (« la légende », « on raconte », « aurait »). Les caractères sont pris d'abord
# sur le parcours Lire (les 90 premiers jours surtout), pour parler de ce que
# l'apprenant rencontre. `wenlu check` contrôle chaque ligne.
#
# Format : TSV, `#` en commentaire, sept colonnes séparées par une tabulation.
#
# - `c` : le caractère, un seul, unique dans le fichier, dessiné depuis ses traits ;
# - `titre`, `texte` : le titre (une phrase) et le texte (trois à cinq phrases) ;
# - `appui` : la nature de ce qui fonde le texte —
#   `langue` (sens, lectures, mots et expressions, tels que les dictionnaires les donnent),
#   `coutume` (usage ou croyance populaire largement documenté),
#   `histoire` (fait historique documenté),
#   `litterature` (texte classique cité, du domaine public),
#   `legende` (légende, dite comme telle dans le texte),
#   `ecriture` (histoire d'un caractère : forme ancienne, création, simplification) ;
# - `etiquette` : `atteste` ou `mnemotechnique` dès que le texte parle de l'origine
#   d'un caractère ou d'un mot (brief §2 : jamais l'un pour l'autre), vide sinon ;
# - `statut` : `relu` (validé par le propriétaire) ou `a_relire` ;
# - `source` : la provenance du texte.
c	titre	texte	appui	etiquette	statut	source
福	Le bonheur se colle à l'envers.	Au Nouvel An, on colle le caractère 福 (bonheur) sur la porte, tête en bas. Renversé se dit 倒 dào, arrivé se dit 到 dào. 福倒了, « le bonheur est à l'envers », s'entend « le bonheur est arrivé ». Tout un pays fait un jeu de mots sur sa porte.	coutume		relu	rédigé pour l'app (maquette validée par le propriétaire, septembre 2026)
四	Pourquoi il n'y a pas de 4e étage.	四 sì, quatre, sonne presque comme 死 sǐ, mourir. Beaucoup d'immeubles sautent le 4e, le 14e et le 24e étage, et l'on évite d'offrir quatre de quelque chose. À l'inverse, 八 bā, huit, ressemble à 发 fā, s'enrichir : les Jeux de Pékin ont ouvert le 8 août 2008, à huit heures du soir.	coutume		a_relire	rédigé pour l'app (maquette validée par le propriétaire, septembre 2026, corrigé)
送	N'offrez jamais une horloge.	Offrir une horloge se dit 送钟 sòng zhōng, exactement comme 送终 sòng zhōng, accompagner quelqu'un jusqu'à sa mort. Bien des cadeaux tabous suivent cette logique de sons : un parapluie (伞 sǎn, comme 散, se séparer), des poires (梨 lí, comme 离, se quitter). 送 veut dire offrir, et aussi raccompagner quelqu'un.	coutume		a_relire	rédigé pour l'app (maquette validée par le propriétaire, septembre 2026, corrigé)
红	Le rouge n'est pas la couleur de l'amour.	红 hóng, le rouge, c'est la chance, la fête et l'argent : enveloppes rouges du Nouvel An, robe rouge de la mariée, 红包 pour les enfants. Le blanc est la couleur du deuil. Et 红 se dit aussi de quelqu'un qui a du succès : 他很红, il est très en vue.	coutume		relu	rédigé pour l'app (maquette validée par le propriétaire, septembre 2026)
姓	Le nom de famille vient en premier.	En Chine, le nom de famille (姓) précède le prénom : 王明 est monsieur Wang, prénommé Ming. Une centaine de noms suffisent à la grande majorité de la population, d'où 老百姓, « les cent vieux noms », qui veut dire le peuple. Les trois plus fréquents : 王, 李, 张.	langue		a_relire	rédigé pour l'app (maquette validée par le propriétaire, septembre 2026, corrigé)
茶	Tapoter la table pour dire merci.	Quand on vous sert le thé (茶), on tapote deux doigts sur la table. La légende : l'empereur Qianlong voyageait incognito et servait lui-même ses compagnons, qui ne pouvaient pas s'agenouiller sans le trahir. Ils ont plié deux doigts à la place. Le geste est resté.	legende		relu	rédigé pour l'app (maquette validée par le propriétaire, septembre 2026)
面	Perdre la face, donner la face.	面子 miànzi, la face, c'est la considération qu'on vous accorde en public. On peut la perdre (丢面子), la donner à quelqu'un en le complimentant devant les autres (给面子), ou la sauver. Beaucoup de politesse chinoise consiste à ne faire perdre la face à personne, jamais.	coutume		relu	rédigé pour l'app (maquette validée par le propriétaire, septembre 2026)
筷	Les baguettes ne se plantent pas.	筷子 kuàizi, les baguettes. Plantées droites dans un bol de riz, elles ressemblent aux bâtons d'encens qu'on offre aux morts : c'est le geste le plus mal vu à table. Le caractère 筷 vient du bambou (竹) et de 快, rapide : les mariniers avaient banni l'ancien nom des baguettes, 箸 zhù, trop proche de 住, s'arrêter.	ecriture	atteste	a_relire	rédigé pour l'app (maquette validée par le propriétaire, septembre 2026, corrigé)
岁	On naît à un an.	岁 suì, l'année d'âge. Traditionnellement, un enfant a un an à sa naissance et en prend un de plus au Nouvel An chinois, pas à son anniversaire : c'est l'âge 虚岁, qui peut dépasser l'âge occidental de deux ans. Demander l'âge se dit 你多大, « tu es combien grand ».	coutume		relu	rédigé pour l'app (maquette validée par le propriétaire, septembre 2026)
春	La plus grande migration du monde.	春节, la fête du Printemps, c'est le Nouvel An chinois. Pour rentrer dîner en famille le soir du réveillon, le pays compte plusieurs milliards de trajets en quarante jours. On mange des raviolis au nord, des gâteaux de riz gluant au sud, et on reste éveillé pour « garder l'année », 守岁.	coutume		a_relire	rédigé pour l'app (maquette validée par le propriétaire, septembre 2026, corrigé)
