# Les messages de « La coquille » (story 4b.3) : trouver le caractère faux.
#
# Source : rédigé pour l'app, en session Claude Code, sans reprise d'un texte tiers.
# À relire par le propriétaire (docs/backlog.md, 4b.3) : aucune fiche n'est encore
# relue, et la coquille a besoin de phrases ; celles-ci sont courtes, écrites avec les
# seuls caractères du seuil 255, et d'abord avec ceux que le parcours Lire pose tôt.
#
# L'app ne rédige aucun message : elle lit `coquilles.json`, ne pose que ceux dont
# tous les caractères sont acquis, et glisse à la place d'un caractère piégeable un
# autre membre de son groupe de `paires.json` (夫 pour 天), acquis lui aussi et absent
# du message. `wenlu check` contrôle chaque ligne.
#
# Un piège ne doit jamais former un autre texte juste : on évite 前天 (前夫), 大天
# (大夫), 天子 (夫子), 夫人 (天人), 国王 (国主), 小王 (小玉), 主人 et 主要.
#
# Format : TSV, `#` en commentaire, cinq colonnes séparées par une tabulation.
#
# - `message` : de 6 à 12 caractères chinois, ponctuation chinoise permise ;
# - `pieges` : les caractères du message que l'app peut remplacer, séparés par une
#   espace ; chacun appartient à un groupe de `data/sources/paires/paires.tsv` ;
# - `fr`, `en` : la traduction, que la correction montre ;
# - `source` : la provenance du texte.
message	pieges	fr	en	source
我明天去山里。	天	Demain, je vais à la montagne.	Tomorrow I'm going to the mountains.	rédigé pour l'app
明天是星期一。	天	Demain, c'est lundi.	Tomorrow is Monday.	rédigé pour l'app
今天是几月几日？	天 日	Quel jour du mois sommes-nous ?	What's the date today?	rédigé pour l'app
明天是我生日。	天 日	Demain, c'est mon anniversaire.	Tomorrow is my birthday.	rédigé pour l'app
她每天学中文。	天	Elle étudie le chinois tous les jours.	She studies Chinese every day.	rédigé pour l'app
今天天气不好。	天	Il ne fait pas beau aujourd'hui.	The weather is bad today.	rédigé pour l'app
我今天不开车。	天	Aujourd'hui, je ne prends pas la voiture.	I'm not driving today.	rédigé pour l'app
我今天不出去。	天	Aujourd'hui, je ne sors pas.	I'm not going out today.	rédigé pour l'app
今天有雨，明天也有雨。	天	Il pleut aujourd'hui, et demain aussi.	It's raining today, and tomorrow too.	rédigé pour l'app
她天天去山里玩。	天	Elle va jouer dans la montagne tous les jours.	She goes to play in the mountains every day.	rédigé pour l'app
今天我不学中文。	天	Aujourd'hui, je n'étudie pas le chinois.	I'm not studying Chinese today.	rédigé pour l'app
