# Textes des fêtes : le vœu, les phrases de Tao, l'anecdote du jour de fête.
#
# Source : textes rédigés pour l'app. Ceux du Nouvel An et de la mi-automne sont
# repris du prototype validé par le propriétaire (menu de départ et anecdote de
# fête, septembre 2026) ; ceux des six autres fêtes sont écrits sur le même modèle
# (story 4b.9). Aucun texte tiers n'est recopié : les faits (légende de 年, lapin
# de jade 玉兔, 福 à l'envers, 灯谜, Qu Yuan 屈原, pont des pies 鹊桥, 登高, dicton
# des raviolis du solstice) relèvent du folklore commun, et le vers de Du Mu 杜牧
# cité à Qingming (清明时节雨纷纷, IXe siècle) est dans le domaine public.
#
# Format : TSV, `#` en commentaire, quatre colonnes séparées par une tabulation.
# Une clé par ligne ; `tao` se répète, une ligne par phrase, dans l'ordre où Tao
# les dit. Deux jetons sont remplis par l'app au jour de la fête :
#
# - `{animal}` : l'animal de l'année lunaire, pris dans `animaux.tsv` par
#   l'année du calendrier (« de la Chèvre 羊 » en 2027) ;
# - `{quand}` : le délai jusqu'au soir de la fête (« Demain soir », « Ce soir »).
#   Seules les fêtes du soir s'en servent ; les autres textes valent pour chaque
#   jour de la fenêtre.
#
# `caractere_voeu` est le caractère dessiné à côté du vœu (le 福 à l'envers du
# Nouvel An) ; `anecdote_c`, celui de l'anecdote : le caractère bonus de la fête,
# que l'anecdote fait découvrir (灯, 雨, 粽, 桥, 菊, 冬…). Tous deux sont dessinés
# depuis leurs traits : `wenlu check` vérifie qu'ils sont dans les traits exportés.
# `anecdote_sens` est le sens du caractère bonus, en français ; son pinyin vient
# d'Unihan, par l'export.
#
fete	cle	valeur	source
chunjie	nom	Nouvel An lunaire	rédigé pour l'app
chunjie	nom_zh	春节	rédigé pour l'app
chunjie	voeu_zh	新年快乐	rédigé pour l'app
chunjie	voeu_pinyin	xīnnián kuàilè	rédigé pour l'app
chunjie	voeu_fr	Bonne année {animal}	rédigé pour l'app
chunjie	caractere_voeu	福	rédigé pour l'app
chunjie	tao	新年好 ! Bonne année !	rédigé pour l'app
chunjie	tao	Un 福 à l'envers : le bonheur arrive.	rédigé pour l'app
chunjie	anecdote_rubrique	L'anecdote du Nouvel An	rédigé pour l'app
chunjie	anecdote_c	年	rédigé pour l'app
chunjie	anecdote_sens	l'année	rédigé pour l'app
chunjie	anecdote_titre	Pourquoi tout est rouge au Nouvel An.	rédigé pour l'app
chunjie	anecdote_texte	La légende raconte qu'un monstre nommé 年 nián sortait chaque hiver dévorer les villages. Il avait peur de trois choses : le rouge, le feu et le bruit. D'où les papiers rouges sur les portes, les lanternes et les pétards. Et on colle 福 fú, le bonheur, à l'envers : « à l'envers » se dit 倒 dào, comme 到 dào, arriver. Le bonheur arrive.	rédigé pour l'app
yuanxiao	nom	Fête des Lanternes	rédigé pour l'app
yuanxiao	nom_zh	元宵节	rédigé pour l'app
yuanxiao	voeu_zh	元宵节快乐	rédigé pour l'app
yuanxiao	voeu_pinyin	yuánxiāojié kuàilè	rédigé pour l'app
yuanxiao	voeu_fr	{quand}, fête des Lanternes	rédigé pour l'app
yuanxiao	tao	{quand}, les lanternes !	rédigé pour l'app
yuanxiao	tao	Une devinette ? Un 灯谜 !	rédigé pour l'app
yuanxiao	tao	Un 汤圆 tout rond. Miam.	rédigé pour l'app
yuanxiao	anecdote_rubrique	L'anecdote de la fête des Lanternes	rédigé pour l'app
yuanxiao	anecdote_c	灯	rédigé pour l'app
yuanxiao	anecdote_sens	la lampe, la lanterne	rédigé pour l'app
yuanxiao	anecdote_titre	Pourquoi des devinettes sur les lanternes ?	rédigé pour l'app
yuanxiao	anecdote_texte	Le 15e jour de l'an, 元宵 yuánxiāo, c'est la première pleine lune, et le Nouvel An s'achève. Le soir, on allume des lanternes, 灯 dēng, et l'on y accroche des devinettes, les 灯谜 dēngmí : beaucoup se résolvent en démontant un caractère, brique par brique. Puis on mange des 汤圆 tāngyuán, boulettes de riz rondes et sucrées. Dans 灯, le feu 火 à gauche : la flamme qui éclaire.	rédigé pour l'app
qingming	nom	Fête de Qingming	rédigé pour l'app
qingming	nom_zh	清明节	rédigé pour l'app
qingming	voeu_zh	清明安康	rédigé pour l'app
qingming	voeu_pinyin	qīngmíng ānkāng	rédigé pour l'app
qingming	voeu_fr	Temps clair, paix et santé	rédigé pour l'app
qingming	tao	Il pleut tout fin : c'est 清明.	rédigé pour l'app
qingming	tao	Un brin de saule ? Tiens.	rédigé pour l'app
qingming	tao	On fait voler le cerf-volant ?	rédigé pour l'app
qingming	anecdote_rubrique	L'anecdote de Qingming	rédigé pour l'app
qingming	anecdote_c	雨	rédigé pour l'app
qingming	anecdote_sens	la pluie	rédigé pour l'app
qingming	anecdote_titre	Pourquoi dit-on qu'il pleut à Qingming ?	rédigé pour l'app
qingming	anecdote_texte	清明 qīngmíng, « pur et lumineux », est l'un des vingt-quatre termes solaires : début avril, le printemps s'installe. Un poème attribué à Du Mu 杜牧 s'ouvre ainsi : 清明时节雨纷纷, « au temps de Qingming, la pluie tombe fine ». Les familles vont saluer leurs aïeux et poser des fleurs, puis se promènent dans l'herbe neuve et font voler des cerfs-volants. Dans 雨, les gouttes tombent sous le ciel.	rédigé pour l'app
duanwu	nom	Fête des bateaux	rédigé pour l'app
duanwu	nom_zh	端午节	rédigé pour l'app
duanwu	voeu_zh	端午安康	rédigé pour l'app
duanwu	voeu_pinyin	duānwǔ ānkāng	rédigé pour l'app
duanwu	voeu_fr	Paix et santé, fête des bateaux	rédigé pour l'app
duanwu	tao	Un 粽子 ? Miam.	rédigé pour l'app
duanwu	tao	Les bateaux font la course !	rédigé pour l'app
duanwu	tao	De l'armoise à la porte : 艾.	rédigé pour l'app
duanwu	anecdote_rubrique	L'anecdote de la fête des bateaux	rédigé pour l'app
duanwu	anecdote_c	粽	rédigé pour l'app
duanwu	anecdote_sens	le zongzi, riz en feuilles	rédigé pour l'app
duanwu	anecdote_titre	Pourquoi des courses de bateaux ?	rédigé pour l'app
