# Surcharges d'IDS, appliquées avant la réconciliation avec GF 0014-2009.
#
# Les sources téléchargées (Make Me a Hanzi `dictionary.txt`, cjk-decomp) ne se
# corrigent jamais sur place. Une erreur relevée se corrige ici : l'IDS de la
# ligne remplace celui des deux sources, et la décomposition qui le descend porte
# la source `surcharge` (voir `data/src/wenlu_data/surcharges.py`).
#
# Règle : une surcharge n'entre que si la table de la norme la justifie
# (`data/sources/gf0014-2009/composants.tsv` ; le numéro d'ordre `sequence` de
# chaque composant est cité entre parenthèses). Un composant de la norme écrit
# en IDS, faute de point de code, se met entre accolades.
#
# Format : `#` en commentaire ; trois colonnes séparées par une tabulation :
# caractère, IDS, raison.
#
# 1. Notation : un point de code des blocs de traits ou de radicaux, là où la
#    norme donne le même composant sous un autre point de code. Ni le contenu ni
#    la forme ne changent ; la feuille retrouve son nom dans la table.
㇐	一	notation : trait 横 du bloc des traits ; la norme le donne en 一 (138, 横/一)
㇑	丨	notation : trait 竖 du bloc des traits ; la norme le donne en 丨 (339, 竖)
㇒	丿	notation : trait 撇 du bloc des traits ; la norme le donne en 丿 (268, 撇)
㇓	丿	notation : trait 竖撇, forme du 撇 ; la norme le donne en 丿 (268, 撇)
㇔	丶	notation : trait 点 du bloc des traits ; la norme le donne en 丶 (77, 点)
㇖	乛	notation : trait 横钩 du bloc des traits ; la norme le donne en 乛 (140, 横钩)
㇗	𠃊	notation : trait 竖折 du bloc des traits ; la norme le donne en 𠃊 (340, 竖折)
㇆	𠃌	notation : trait 横折钩 du bloc des traits ; la norme le donne en 𠃌 (142, 横折钩)
㇟	乚	notation : trait 竖弯钩 du bloc des traits ; la norme le donne en 乚 (341, 竖弯钩)
⺧	𠂒	notation : radical 牛 en tête (告, 先) ; la norme le donne en 𠂒 (259, 告字头)
⺁	厂	notation : radical 厂 du bloc des radicaux ; la norme le donne en 厂 (40, 厂)
⺤	爫	notation : radical 爪 en tête ; la norme le donne en 爫 (482, 爪头)
⺼	月	notation : 肉月, que la norme range sous 月 (471, « 月/肉月 ») ; cjk-decomp le découpait en ⺆ + 亠, qui n'ont rien à voir avec la chair (能)
匸	匚	notation : l'écriture simplifiée ne distingue plus 匸 de 匚 ; la norme ne connaît que 匚 (286, 区字框) (医)
#
# 2. Corrections : la source se trompe de composant, ou s'arrête sur `？`.
壴	⿱士⿱口䒑	Make Me a Hanzi lit 壴 comme 土 + 口 (6 traits pour 9) ; 壴 s'écrit 士 + 口 + 䒑, comme le découpe cjk-decomp dans 喜 : 士 (327), 口 (200), 䒑 (277, 前字头)
在	⿸𠂇⿰丨土	Make Me a Hanzi donne 才 + 土, mais 在 n'écrit pas 才 : pas de crochet, et l'ordre des traits est 一 丿 丨 土 ; le cadre est 𠂇 (514, 左字框, le cadre de 左 et de 在), puis 丨 (339) et 土 (368). 才 reste la phonétique de l'étymologie (Shuowen : 从土才声), une couche par-dessus
乞	⿱𠂉乙	Make Me a Hanzi s'arrête sur ？ en tête ; 乞 s'écrit 𠂉 (296, 卧人) sur 乙 (139, 横折弯钩/乙) ; cjk-decomp mettait un 横斜弯钩 hors norme (吃)
是	⿱日⿱一龰	Make Me a Hanzi donne 日 + 疋, hors norme ; sous 日, 是 écrit un 横 (一, 138) puis 龰 (490, 足字底), 9 traits ; cjk-decomp y mettait un 横钩 (题)
那	⿰𭃂阝	Make Me a Hanzi s'arrête sur ？ ; la norme a un composant propre, 𭃂 (248, 那字旁), puis 阝 (347) (哪)
觉	⿱𭕄见	Make Me a Hanzi donne ⺍ + 冖 + 见, ⺍ hors norme ; la norme réunit les deux en 𭕄 (413, 学字头), puis 见 (170)
学	⿱𭕄子	Make Me a Hanzi donne ⺍ + 冖 + 子, ⺍ hors norme ; la norme réunit les deux en 𭕄 (413, 学字头), puis 子 (510)
以	⿰{⿰𠄌丶}人	Make Me a Hanzi s'arrête sur ？ ; la norme a un composant sans point de code, 以字旁 ⿰𠄌丶 (160, variante de 己), puis 人 (292)
介	⿱人{⿰丿丨}	Make Me a Hanzi s'arrête sur ？, cjk-decomp met deux 竖 ; 介 s'écrit 人 (292) sur 乔字底 ⿰丿丨 (280), un 撇 et un 竖
