# Le nom de chaque brique citée par une devinette de lanterne (灯谜, story 4b.5).
#
# Source : rédigé pour l'app. Le nom est celui que l'énoncé emploie pour la brique
# (« un homme », « la marche »), au plus court ; la correction de l'app le montre
# sous la brique dessinée, pour que l'énoncé se relise brique par brique. Ce n'est
# pas une étymologie : quand le sens ancien d'une brique est connu (巴 le serpent,
# 其 le van, 亥 le cochon du zodiaque), le nom le reprend ; sinon il décrit la forme
# (乛 le crochet, 丷 deux points, 凵 une boîte ouverte).
#
# Format : TSV, `#` en commentaire, trois colonnes séparées par une tabulation.
# `wenlu check` exige un nom pour chaque brique citée par `devinettes.tsv`.
brique	nom	source
一	un trait	rédigé pour l'app
丁	un clou	rédigé pour l'app
上	en haut	rédigé pour l'app
不	non	rédigé pour l'app
与	donner	rédigé pour l'app
中	le milieu	rédigé pour l'app
主	le maître	rédigé pour l'app
丷	deux points	rédigé pour l'app
乂	une croix	rédigé pour l'app
乍	tout à coup	rédigé pour l'app
乛	un crochet	rédigé pour l'app
也	aussi	rédigé pour l'app
二	deux traits	rédigé pour l'app
五	cinq	rédigé pour l'app
井	un puits	rédigé pour l'app
亡	perdu	rédigé pour l'app
京	la capitale	rédigé pour l'app
人	un homme	rédigé pour l'app
今	maintenant	rédigé pour l'app
亻	un homme	rédigé pour l'app
儿	deux jambes	rédigé pour l'app
八	huit	rédigé pour l'app
六	six	rédigé pour l'app
其	un van	rédigé pour l'app
冂	un cadre	rédigé pour l'app
冖	un couvercle	rédigé pour l'app
几	une petite table	rédigé pour l'app
凵	une boîte ouverte	rédigé pour l'app
刀	un couteau	rédigé pour l'app
刂	un couteau	rédigé pour l'app
力	la force	rédigé pour l'app
十	dix	rédigé pour l'app
午	midi	rédigé pour l'app
卜	une baguette de devin	rédigé pour l'app
厂	une falaise	rédigé pour l'app
去	s'en aller	rédigé pour l'app
又	une main	rédigé pour l'app
口	une bouche	rédigé pour l'app
囗	un enclos	rédigé pour l'app
土	la terre	rédigé pour l'app
夂	un pas qui traîne	rédigé pour l'app
夕	le soir	rédigé pour l'app
大	grand	rédigé pour l'app
天	le ciel	rédigé pour l'app
头	une tête	rédigé pour l'app
女	une femme	rédigé pour l'app
子	un enfant	rédigé pour l'app
宀	un toit	rédigé pour l'app
寸	un pouce	rédigé pour l'app
山	une montagne	rédigé pour l'app
工	une équerre	rédigé pour l'app
巴	un serpent	rédigé pour l'app
广	un abri	rédigé pour l'app
弓	un arc	rédigé pour l'app
彡	trois traits	rédigé pour l'app
彳	un pas	rédigé pour l'app
心	un cœur	rédigé pour l'app
忄	un cœur debout	rédigé pour l'app
我	moi	rédigé pour l'app
戈	une hallebarde	rédigé pour l'app
户	une porte battante	rédigé pour l'app
手	une main	rédigé pour l'app
扌	une main	rédigé pour l'app
文	l'écrit	rédigé pour l'app
斤	une hache	rédigé pour l'app
方	un carré	rédigé pour l'app
日	le soleil	rédigé pour l'app
月	la lune	rédigé pour l'app
木	un arbre	rédigé pour l'app
果	un fruit	rédigé pour l'app
欠	bâiller	rédigé pour l'app
止	un pied	rédigé pour l'app
气	la vapeur	rédigé pour l'app
氵	l'eau	rédigé pour l'app
灬	le feu	rédigé pour l'app
父	le père	rédigé pour l'app
牛	un bœuf	rédigé pour l'app
玉	du jade	rédigé pour l'app
王	un roi	rédigé pour l'app
生	naître	rédigé pour l'app
田	un champ	rédigé pour l'app
目	un œil	rédigé pour l'app
矢	une flèche	rédigé pour l'app
示	un autel	rédigé pour l'app
禾	une céréale	rédigé pour l'app
立	debout	rédigé pour l'app
米	du riz	rédigé pour l'app
糸	un fil de soie	rédigé pour l'app
纟	un fil de soie	rédigé pour l'app
羊	un mouton	rédigé pour l'app
舌	une langue	rédigé pour l'app
艹	l'herbe	rédigé pour l'app
覀	un chapeau	rédigé pour l'app
见	voir	rédigé pour l'app
言	la parole	rédigé pour l'app
讠	la parole	rédigé pour l'app
豕	un cochon	rédigé pour l'app
贝	un coquillage	rédigé pour l'app
身	un corps	rédigé pour l'app
辶	la marche	rédigé pour l'app
酉	une jarre	rédigé pour l'app
重	lourd	rédigé pour l'app
长	long	rédigé pour l'app
门	une porte	rédigé pour l'app
隹	un oiseau	rédigé pour l'app
马	un cheval	rédigé pour l'app
饣	la nourriture	rédigé pour l'app
首	une tête	rédigé pour l'app
龶	une pousse	rédigé pour l'app
⺀	deux glaçons	rédigé pour l'app
⺊	une baguette de devin	rédigé pour l'app
至	arriver	rédigé pour l'app
云	un nuage	rédigé pour l'app
亥	le cochon du zodiaque	rédigé pour l'app
免	éviter	rédigé pour l'app
才	le talent	rédigé pour l'app
夬	trancher	rédigé pour l'app
爫	une main qui cueille	rédigé pour l'app
匕	une cuillère	rédigé pour l'app
