# Les lettres de Que (story 4b.8) : le fil du feuilleton, une ligne par lettre.
#
# Que 雀, le moineau ami de Tao, écrit une lettre par semaine à l'apprenant. La lettre n
# n'emploie que les caractères que le parcours Lire a posés au jour 7n (lettre 1 au
# jour 7, lettre 12 au jour 84) : `wenlu lettres contexte <n>` les donne.
#
# Le voyage : `docs/jeux.md` prévoyait « de 西安 à 喀什 », mais ni 安, ni 喀, ni 什
# ne sont posés avant le jour 84 (安 et 喀 hors du seuil 255). Que part donc de la
# porte de M. Wang vers la montagne, puis seul vers les Monts de l'Ouest 西山 (我, 去
# et 西 arrivent au jour 56), et revient en volant (飞, jour 84).
#
# Colonnes : n, titre français, titre anglais, ce qui se passe (pour la relecture).
# Textes rédigés pour l'app, sans API ; à relire par le propriétaire.
n	titre_fr	titre_en	resume_fr
1	Le premier matin	The first morning	À l'aube, Que joue aux devinettes de caractères (日 et 月 font 明) et demande s'il y aura la lune demain.
2	Un élève à plumes	A feathered student	Sous les étoiles, une jeune femme à la porte demande à Que s'il est élève ; il apprend chaque jour et demande si l'apprenant l'est aussi.
3	Le dimanche de M. Wang	Mr Wang's Sunday	La jeune femme est la fille de M. Wang, élève elle aussi ; le dimanche, tout le monde joue, et Que demande si l'on joue aussi le dimanche.
4	La montagne au loin	The mountain far away	De la porte, Que voit une grande montagne rouge comme le feu au soleil ; son cœur y pense, et il demande quel jour on est.
5	Jour de pluie	A rainy day	Il pleut, les montagnes sont blanches, on ne fait que jouer avec l'eau ; demain, la petite charrette et la montagne.
6	La porte ancienne	The ancient gate	Dans la montagne, une porte ancienne porte « 山高月小 » ; Que la lit à voix haute et demande si le chinois s'apprend bien.
7	Ouvrir la porte, voir la montagne	Open the door, see the mountain	Beau temps, des fruits, des étoiles claires sans électricité ; Que est content et demande si l'apprenant l'est aussi.
8	Vers les Monts de l'Ouest	To the Western Hills	Que part seul vers les Monts de l'Ouest ; la fille de M. Wang demande combien d'élèves à plumes il y a là-bas.
9	Le vieil homme de cent ans	The hundred-year-old man	Au sommet, un vieil homme de cent ans apprend encore chaque jour ; Que demande si l'on apprendra encore, vieux.
10	Des nouilles très longues	Very long noodles	Le vieil homme fait des nouilles, Que en prend une bouchée, puis dit au revoir en promettant de revenir.
11	Le chemin de l'est	The road east	Que revient vers l'est en évitant la pluie du sud ; dans trois jours, il sera à la porte de M. Wang.
12	Retour à la porte	Back at the door	Que a volé trois jours ; on mange des nouilles et de la viande chez M. Wang, et demain il repart vers le sud.
