# L'étal de la cuisine de Tao (story 4b.6) : chaque mot qu'on peut y prendre.
#
# Source : rédigé pour l'app, sans API ; à relire. Les ingrédients des recettes et
# leurs leurres sont tous ici, avec leur sens, que la correction montre quand on
# s'est trompé (« 牛奶, c'est du lait »). Le pinyin suit les conventions des fiches :
# tons du dictionnaire, un mot d'un seul tenant.
#
# Format : TSV, `#` en commentaire, cinq colonnes séparées par une tabulation :
# `zh`, `pinyin`, `fr` (avec l'article), `en`, `source`.
zh	pinyin	fr	en	source
米	mǐ	du riz	rice	rédigé pour l'app
米饭	mǐfàn	du riz cuit	cooked rice	rédigé pour l'app
米酒	mǐjiǔ	du vin de riz	rice wine	rédigé pour l'app
面	miàn	de la farine, des nouilles	flour, noodles	rédigé pour l'app
面条	miàntiáo	des nouilles	noodles	rédigé pour l'app
面包	miànbāo	du pain	bread	rédigé pour l'app
牛肉	niúròu	du bœuf	beef	rédigé pour l'app
牛奶	niúnǎi	du lait	milk	rédigé pour l'app
鸡肉	jīròu	du poulet	chicken	rédigé pour l'app
鸡蛋	jīdàn	des œufs	eggs	rédigé pour l'app
肉	ròu	de la viande	meat	rédigé pour l'app
菜	cài	des légumes	vegetables	rédigé pour l'app
白菜	báicài	du chou chinois	Chinese cabbage	rédigé pour l'app
水果	shuǐguǒ	des fruits	fruit	rédigé pour l'app
茶	chá	du thé	tea	rédigé pour l'app
水	shuǐ	de l'eau	water	rédigé pour l'app
开水	kāishuǐ	de l'eau bouillante	boiling water	rédigé pour l'app
冷水	lěngshuǐ	de l'eau froide	cold water	rédigé pour l'app
酒	jiǔ	de l'alcool	alcohol	rédigé pour l'app
白酒	báijiǔ	de l'alcool blanc	Chinese liquor	rédigé pour l'app
