# Le message WeChat (story 4b.7) : les échanges de chaque dialogue, dans l'ordre.
#
# Source : rédigé pour l'app, sans API ; à relire. Des phrases courtes, qui ne
# s'écrivent qu'avec les caractères que les parcours posent (`wenlu check`).
#
# Conventions de pinyin, celles des fiches (`pinyin.py`) : tons du dictionnaire,
# sans sandhi (一 s'écrit yī, 不 bù), un mot d'un seul tenant, ponctuation latine.
# Chaque caractère doit se lire par l'une de ses lectures ; `wenlu check` aligne, et
# l'export en tire le pinyin de chaque caractère, que l'app montre au toucher.
#
# Format : TSV, `#` en commentaire, sept colonnes séparées par une tabulation :
# `dialogue` (l'`id` de `dialogues.tsv`), `role`, `zh`, `pinyin`, `fr`, `en`, `erreur`.
#
# Un échange commence par un message de l'ami (`ami`), suivi d'une bonne réplique
# (`juste`) et de deux ou trois mauvaises (`faux`) : trois ou quatre répliques. Une
# mauvaise réplique dit ce qui cloche (`erreur`) : `hors-sujet` (elle parle d'autre
# chose) ou `contresens` (elle lit mal le message : 今天 pour 明天, 茶 pour 菜, un
# « oui » qui contredit). Un dialogue a de deux à quatre échanges ; un dernier message
# de l'ami (`fin`), sans réplique, peut le clore.
dialogue	role	zh	pinyin	fr	en	erreur
zao	ami	早！	Zǎo!	Salut !	Morning!	
zao	juste	早！	Zǎo!	Salut !	Morning!	
zao	faux	明天见！	Míngtiān jiàn!	À demain !	See you tomorrow!	contresens
zao	faux	她是学生。	Tā shì xuésheng.	Elle est étudiante.	She's a student.	hors-sujet
zao	ami	明天是星期二？	Míngtiān shì xīngqī'èr?	Demain, c'est mardi ?	Is tomorrow Tuesday?	
zao	juste	是，明天星期二。	Shì, míngtiān xīngqī'èr.	Oui, demain c'est mardi.	Yes, tomorrow's Tuesday.	
zao	faux	是，明天星期一。	Shì, míngtiān xīngqīyī.	Oui, demain c'est lundi.	Yes, tomorrow's Monday.	contresens
zao	faux	她有女儿。	Tā yǒu nǚ'ér.	Elle a une fille.	She has a daughter.	hors-sujet
zao	ami	好，明天见！	Hǎo, míngtiān jiàn!	Bon, à demain !	OK, see you tomorrow!	
zao	juste	明天见！	Míngtiān jiàn!	À demain !	See you tomorrow!	
zao	faux	早！	Zǎo!	Salut ! (le bonjour du matin)	Morning!	contresens
zao	faux	一月一日。	Yīyuè yī rì.	Le 1er janvier.	January 1st.	hors-sujet
mama	ami	妈妈好吗？	Māma hǎo ma?	Ta mère va bien ?	How's your mum?	
mama	juste	妈妈好！	Māma hǎo!	Maman va bien !	Mum's well!	
mama	faux	马好！	Mǎ hǎo!	Le cheval va bien !	The horse is well!	contresens
mama	faux	明天见！	Míngtiān jiàn!	À demain !	See you tomorrow!	hors-sujet
mama	ami	妈妈生日是几月几日？	Māma shēngrì shì jǐ yuè jǐ rì?	L'anniversaire de ta mère, c'est quand ?	When is your mum's birthday?	
mama	juste	二月十八日。	Èryuè shíbā rì.	Le 18 février.	February 18th.	
mama	faux	她是大学生。	Tā shì dàxuésheng.	Elle est étudiante à l'université.	She's a university student.	hors-sujet
mama	faux	早！	Zǎo!	Salut !	Morning!	hors-sujet
shengri	ami	她生日是几月几日？	Tā shēngrì shì jǐ yuè jǐ rì?	Son anniversaire, c'est quand ?	When is her birthday?	
shengri	juste	八月十二日。	Bāyuè shí'èr rì.	Le 12 août.	August 12th.	
shengri	faux	她是大学生。	Tā shì dàxuésheng.	Elle est étudiante à l'université.	She's a university student.	hors-sujet
shengri	faux	是她女儿。	Shì tā nǚ'ér.	C'est sa fille.	It's her daughter.	hors-sujet
shengri	ami	明天是八月十二日！	Míngtiān shì bāyuè shí'èr rì!	Demain, c'est le 12 août !	Tomorrow is August 12th!	
shengri	juste	明天是她生日？	Míngtiān shì tā shēngrì?	Son anniversaire, c'est demain ?	So her birthday is tomorrow?	
shengri	faux	今天是她生日？	Jīntiān shì tā shēngrì?	Son anniversaire, c'est aujourd'hui ?	So her birthday is today?	contresens
shengri	faux	八月有雨。	Bāyuè yǒu yǔ.	En août, il pleut.	It rains in August.	hors-sujet
shengri	fin	是！	Shì!	Oui !	Yes!	
xiayu	ami	今天有雨，我不出门了。	Jīntiān yǒu yǔ, wǒ bù chūmén le.	Il pleut aujourd'hui, je ne sors pas.	It's raining today, I'm staying in.	
xiayu	juste	我也不出门。	Wǒ yě bù chūmén.	Moi non plus.	Me neither.	
xiayu	faux	我也出门了。	Wǒ yě chūmén le.	Moi aussi, je suis sorti.	I went out too.	contresens
xiayu	faux	我是学生。	Wǒ shì xuésheng.	Je suis étudiant.	I'm a student.	hors-sujet
