# Les devinettes de lanternes (灯谜, story 4b.5) : une décomposition déguisée.
#
# Source : rédigé pour l'app. Chaque énoncé décrit les briques de la décomposition
# canonique GF 0014-2009 exportée, et leur disposition ; les noms des briques sont
# ceux de `briques.tsv`. Aucun énoncé tiers n'est recopié, sauf l'énoncé chinois
# traditionnel, donné seulement quand la devinette est un 字谜 connu, cité mot pour
# mot et du domaine public (trois vers du quatrain « 请坐奉茶 », « 一月一日非今天 »,
# « 一口咬掉牛尾巴 », « 一人一张口，口下长只手 »). Sinon la colonne reste vide.
#
# Format : TSV, `#` en commentaire, sept colonnes séparées par une tabulation.
#
# - `c` : le caractère réponse, qui sert aussi d'identifiant (une devinette par
#   caractère) ;
# - `disposition` : la disposition de premier niveau de la décomposition, que
#   `wenlu check` compare à la structure IDS du build — `cote` (⿰ ⿲), `superpose`
#   (⿱ ⿳), `dedans` (⿴ ⿵ ⿶ ⿷), `enveloppe` (⿸ ⿹ ⿺), `mele` (⿻) ;
# - `briques` : les briques que l'énoncé cite, séparées par une espace, dans l'ordre
#   d'écriture. Elles doivent être exactement les `parts` exportées du caractère ;
# - `enonce_fr` : court et imagé, sans guillemets extérieurs (l'app les pose) ;
# - `enonce_zh` : l'énoncé chinois traditionnel, vide s'il n'y en a pas d'exact ;
# - `sens` : le sens du caractère réponse, pour la correction ;
# - `source`.
#
# Les leurres ne s'écrivent pas ici : `wenlu export` les choisit par ressemblance de
# composants parmi les caractères des listes cibles, et `wenlu check` les contrôle.
c	disposition	briques	enonce_fr	enonce_zh	sens	source
明	cote	日 月	Le soleil et la lune, côte à côte	一月一日非今天	clair, lumineux	rédigé pour l'app ; énoncé chinois : 字谜 traditionnel
好	cote	女 子	Une femme et un enfant, côte à côte		bien, bon	rédigé pour l'app
休	cote	亻 木	Un homme adossé à un arbre		se reposer	rédigé pour l'app
古	superpose	十 口	Dix, posé sur une bouche		ancien	rédigé pour l'app
告	superpose	牛 口	Une bouche mord la queue du bœuf	一口咬掉牛尾巴	annoncer, dire	rédigé pour l'app ; énoncé chinois : 字谜 traditionnel
从	cote	人 人	Un homme en suit un autre		suivre ; depuis	rédigé pour l'app
朋	cote	月 月	Deux lunes côte à côte		ami	rédigé pour l'app
多	superpose	夕 夕	Un soir posé sur un autre soir		nombreux, beaucoup	rédigé pour l'app
男	superpose	田 力	Un champ, et la force dessous		homme (masculin)	rédigé pour l'app
思	superpose	田 心	Un champ posé sur un cœur		penser	rédigé pour l'app
累	superpose	田 糸	Un champ posé sur un fil de soie		fatigué	rédigé pour l'app
早	superpose	日 十	Le soleil posé sur dix		tôt, le matin	rédigé pour l'app
星	superpose	日 生	Le soleil au-dessus de ce qui naît		étoile	rédigé pour l'app
李	superpose	木 子	Un enfant sous un arbre		prune ; Li (nom de famille)	rédigé pour l'app
字	superpose	宀 子	Un enfant sous un toit		caractère d'écriture	rédigé pour l'app
家	superpose	宀 豕	Un cochon sous un toit		maison, famille	rédigé pour l'app
它	superpose	宀 匕	Une cuillère sous un toit		il, elle (une chose, un animal)	rédigé pour l'app
