# Le dictionnaire éclair (story 4b.4) : deviner le sens d'un mot jamais appris.
#
# Des mots de deux caractères du seuil 255 et du HSK 1, fréquents et transparents :
# le sens se devine depuis les deux caractères (电 l'électricité + 脑 le cerveau,
# l'ordinateur). L'app ne propose un mot que si ses deux caractères sont acquis et
# qu'aucune fiche apprise ne l'a déjà fait lire.
#
# Source : la liste des mots a été relevée parmi les entrées de CC-CEDICT, dont seul
# le mot est repris (docs/sources-licences.md §4.2) ; aucune définition n'est lue.
# Le sens, en français et en anglais, est rédigé pour l'app par une session Claude
# Code, sans API, et reste à relire par le propriétaire. Le pinyin est écrit ici, en
# diacritiques, d'un seul tenant, avec les tons du dictionnaire et le ton neutre du
# mot ; `wenlu check` vérifie qu'il se lit dans les lectures d'Unihan (kMandarin)
# ou des surcharges (`data/sources/surcharges/pinyin.tsv`).
#
# Format : TSV, `#` en commentaire, six colonnes séparées par une tabulation.
#
# - `mot` : deux caractères distincts, qui servent d'identifiant ;
# - `pinyin` ;
# - `fr`, `en` : le sens, court, tel que l'écran le propose parmi quatre ; deux mots
#   n'ont jamais le même sens ;
# - `proches` : une étiquette facultative ; deux mots de même étiquette ont des sens
#   trop voisins pour servir de leurre l'un à l'autre (学校 école, 小学 école primaire) ;
# - `source`.
#
# Les leurres ne s'écrivent pas ici : `wenlu export` prend le sens de trois autres
# mots, les voisins d'abord (ceux qui partagent un caractère), et `wenlu check` les
# contrôle. `wenlu eclair apercu` les montre pour la relecture.
mot	pinyin	fr	en	proches	source
电脑	diànnǎo	ordinateur	computer		rédigé pour l'app ; mot relevé dans CC-CEDICT
电视	diànshì	télévision	television		rédigé pour l'app ; mot relevé dans CC-CEDICT
手机	shǒujī	téléphone portable	mobile phone		rédigé pour l'app ; mot relevé dans CC-CEDICT
网上	wǎngshàng	en ligne, sur internet	online	internet	rédigé pour l'app ; mot relevé dans CC-CEDICT
上网	shàngwǎng	aller sur internet	to go online	internet	rédigé pour l'app ; mot relevé dans CC-CEDICT
网站	wǎngzhàn	site web	website		rédigé pour l'app ; mot relevé dans CC-CEDICT
网友	wǎngyǒu	ami rencontré en ligne	online friend		rédigé pour l'app ; mot relevé dans CC-CEDICT
商店	shāngdiàn	magasin	shop, store	magasin	rédigé pour l'app ; mot relevé dans CC-CEDICT
商场	shāngchǎng	centre commercial	shopping mall	magasin	rédigé pour l'app ; mot relevé dans CC-CEDICT
花店	huādiàn	fleuriste	flower shop		rédigé pour l'app ; mot relevé dans CC-CEDICT
学校	xuéxiào	école	school	ecole	rédigé pour l'app ; mot relevé dans CC-CEDICT
小学	xiǎoxué	école primaire	primary school	ecole	rédigé pour l'app ; mot relevé dans CC-CEDICT
中学	zhōngxué	collège et lycée	secondary school	ecole	rédigé pour l'app ; mot relevé dans CC-CEDICT
学生	xuésheng	élève, étudiant	student	eleve	rédigé pour l'app ; mot relevé dans CC-CEDICT
女生	nǚshēng	élève fille	female student	eleve	rédigé pour l'app ; mot relevé dans CC-CEDICT
同学	tóngxué	camarade de classe	classmate	eleve	rédigé pour l'app ; mot relevé dans CC-CEDICT
考试	kǎoshì	examen	exam		rédigé pour l'app ; mot relevé dans CC-CEDICT
回答	huídá	répondre	to answer		rédigé pour l'app ; mot relevé dans CC-CEDICT
学习	xuéxí	étudier	to study	etudier	rédigé pour l'app ; mot relevé dans CC-CEDICT
读书	dúshū	lire, faire des études	to read, to study	etudier	rédigé pour l'app ; mot relevé dans CC-CEDICT
教书	jiāoshū	enseigner	to teach		rédigé pour l'app ; mot relevé dans CC-CEDICT
下课	xiàkè	fin du cours	end of class	sortie	rédigé pour l'app ; mot relevé dans CC-CEDICT
放学	fàngxué	sortie de l'école	school is out	sortie	rédigé pour l'app ; mot relevé dans CC-CEDICT
上学	shàngxué	aller à l'école	to go to school		rédigé pour l'app ; mot relevé dans CC-CEDICT
上班	shàngbān	aller au travail	to go to work		rédigé pour l'app ; mot relevé dans CC-CEDICT
下班	xiàbān	quitter le travail	to finish work		rédigé pour l'app ; mot relevé dans CC-CEDICT
校长	xiàozhǎng	directeur d'école	headmaster		rédigé pour l'app ; mot relevé dans CC-CEDICT
大门	dàmén	grande porte	main gate		rédigé pour l'app ; mot relevé dans CC-CEDICT
球门	qiúmén	but (au football)	goal (in football)		rédigé pour l'app ; mot relevé dans CC-CEDICT
球场	qiúchǎng	terrain de sport	sports ground		rédigé pour l'app ; mot relevé dans CC-CEDICT
打球	dǎqiú	jouer au ballon	to play ball		rédigé pour l'app ; mot relevé dans CC-CEDICT
网球	wǎngqiú	tennis	tennis		rédigé pour l'app ; mot relevé dans CC-CEDICT
气球	qìqiú	ballon de baudruche	balloon		rédigé pour l'app ; mot relevé dans CC-CEDICT
影星	yǐngxīng	vedette de cinéma	film star	vedette	rédigé pour l'app ; mot relevé dans CC-CEDICT
歌手	gēshǒu	chanteur	singer	vedette	rédigé pour l'app ; mot relevé dans CC-CEDICT
唱歌	chànggē	chanter	to sing		rédigé pour l'app ; mot relevé dans CC-CEDICT
地球	dìqiú	la Terre	the Earth		rédigé pour l'app ; mot relevé dans CC-CEDICT
机场	jīchǎng	aéroport	airport		rédigé pour l'app ; mot relevé dans CC-CEDICT
机票	jīpiào	billet d'avion	plane ticket		rédigé pour l'app ; mot relevé dans CC-CEDICT
起飞	qǐfēi	décoller	to take off		rédigé pour l'app ; mot relevé dans CC-CEDICT
车站	chēzhàn	gare, arrêt	station, stop		rédigé pour l'app ; mot relevé dans CC-CEDICT
开车	kāichē	conduire	to drive		rédigé pour l'app ; mot relevé dans CC-CEDICT
下车	xiàchē	descendre du véhicule	to get off		rédigé pour l'app ; mot relevé dans CC-CEDICT
跑车	pǎochē	voiture de sport	sports car		rédigé pour l'app ; mot relevé dans CC-CEDICT
马车	mǎchē	voiture à cheval	horse carriage		rédigé pour l'app ; mot relevé dans CC-CEDICT
风车	fēngchē	moulin à vent	windmill		rédigé pour l'app ; mot relevé dans CC-CEDICT
零钱	língqián	petite monnaie	small change		rédigé pour l'app ; mot relevé dans CC-CEDICT
钱包	qiánbāo	portefeuille	wallet		rédigé pour l'app ; mot relevé dans CC-CEDICT
书包	shūbāo	cartable	schoolbag		rédigé pour l'app ; mot relevé dans CC-CEDICT
红包	hóngbāo	enveloppe rouge (d'argent offert)	red envelope (gift of money)		rédigé pour l'app ; mot relevé dans CC-CEDICT
马路	mǎlù	rue, chaussée	street, road	route	rédigé pour l'app ; mot relevé dans CC-CEDICT
山路	shānlù	chemin de montagne	mountain path	route	rédigé pour l'app ; mot relevé dans CC-CEDICT
路口	lùkǒu	carrefour	crossroads		rédigé pour l'app ; mot relevé dans CC-CEDICT
行人	xíngrén	piéton	pedestrian		rédigé pour l'app ; mot relevé dans CC-CEDICT
路边	lùbiān	bord de la route	roadside		rédigé pour l'app ; mot relevé dans CC-CEDICT
问路	wènlù	demander son chemin	to ask the way		rédigé pour l'app ; mot relevé dans CC-CEDICT
